Symbol,Company,Industry,Market Cap
AIMC,Altra Industrial Motion,Machinery,3.92B
AIN,Albany International,Machinery,2.86B
AINC,Ashford,Capital Markets,66.98M
AINV,Apollo Investment,Capital Markets,838.22M
AIP,Arteris,Semiconductors,611.33M
AIR,AAR Corp.,Aerospace & Defense,1.31B
AIRC,Apartment Income REIT,"Equity Real Estate 
Investment Trusts...",8.20B
AIRG,Airgain,"Electronic Equipment, Instruments & C...",94.59M
AIRI,Air Industries Group,Aerospace & Defense,32.40M
AIRS,AirSculpt Technologies,Medical Care Facilities,771.73M
AIRT,Air T,Air Freight & Logistics,83.00M
AIT,Applied Industrial Technologies,Trading Companies & Distributors,4.08B
AIV,Apartment Investment & Management Company,"Equity Real Estate 
Investment Trusts...",1.20B
AIZ,Assurant,Insurance,9.38B
AJG,Arthur J. Gallagher,Insurance,33.86B
AJRD,Aerojet Rocketdyne,Aerospace & Defense,3.50B
AJX,Great Ajax,"Mortgage Real Estate Investment 
Trus...",318.93M
AKA,a.k.a. Brands,Internet Retail,1.62B
AKAM,Akamai Technologies,IT Services,18.04B
AKBA,Akebia Therapeutics,Biotechnology,475.89M
AKIC,Sports Ventures Acquisition,Blank Check / SPAC,287.34M
AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1.93B
AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,2.11B
AKR,Acadia Realty Trust,"Equity Real Estate 
Investment Trusts...",1.98B
AKRO,Akero Therapeutics,Biotechnology,828.60M
AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",350.26M
AKTX,Akari Therapeutics,Pharmaceuticals,69.49M
AKU,Akumin,Diagnostics & Research,142.44M
AKUS,Akouos,Biotechnology,271.12M
AKYA,Akoya Biosciences,Medical Instruments & Supplies,473.84M
AL,Air Lease Corporation,Trading Companies & Distributors,5.22B
ALAC,Alberton Acquisition,Blank Check / SPAC,51.93M
ALB,Albemarle,Chemicals,32.15B
ALBO,Albireo Pharma,Biotechnology,461.53M
ALC,Alcon,Medical Instruments & Supplies,38.99B
ALCC,AltC Acquisition,Blank Check / SPAC,634.70M
ALCO,"Alico, Inc.",Food Products,270.03M
ALDX,Aldeyra Therapeutics,Biotechnology,456.02M
ALE,"ALLETE, Inc.",Electric Utilities,3.34B
ALEC,Alector,Biotechnology,1.68B
ALEX,Alexander & Baldwin,"Equity Real Estate 
Investment Trusts...",1.74B
ALF,ALFI,Software-Infrastructure,67.29M
ALG,Alamo Group,Machinery,1.81B
ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,5.82B
ALGN,Align Technology,Health Care Equipment & Supplies,51.75B
ALGS,Aligos Therapeutics,Biotechnology,666.09M
ALGT,Allegiant Travel,Airlines,3.32B
ALHC,Alignment Healthcare,Health Care Providers & Services,3.47B
ALIM,Alimera Sciences,Pharmaceuticals,39.34M
ALIT,Alight,Software-Application,4.71B
ALJJ,ALJ Regional Holdings,IT Services,50.36M
ALK,Alaska Air Group,Airlines,6.64B
ALKS,Alkermes,Biotechnology,3.68B
ALKT,Alkami Technology,Software-Application,2.38B
ALL,Allstate,Insurance,33.03B
ALLE,Allegion,Building Products,11.75B
ALLK,Allakos,Biotechnology,4.22B
ALLO,Allogene Therapeutics,Biotechnology,2.58B
ALLT,Allot Ltd.,Software,416.48M
ALLY,Ally Financial,Consumer Finance,17.37B
ALNA,Allena Pharmaceuticals,Biotechnology,58.10M
ALNY,Alnylam Pharmaceuticals,Biotechnology,22.40B
ALOT,AstroNova,"Technology Hardware, Storage & Periph...",129.12M
ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,186.48M
ALPN,Alpine Immune Sciences,Biotechnology,343.05M
ALPP,Alpine 4 Holdings,Metal Fabrication,472.22M
ALRM,Alarm.com,Software,4.10B
ALRN,Aileron Therapeutics,Biotechnology,63.37M
ALRS,Alerus Financial,Diversified Financial Services,562.53M
ALSN,Allison Transmission Holdings,Machinery,3.98B
ALT,Altimmune,Biotechnology,404.14M
ALTG,Alta Equipment Group,Trading Companies & Distributors,526.39M
ALTM,Altus Midstream,"Oil, Gas & Consumable Fuels",255.85M
ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",372.74M
ALTR,Altair Engineering,Software,5.90B
ALTU,Altitude Acquisition,Blank Check / SPAC,371.25M
ALV,Autoliv,Auto Components,8.97B
ALVR,AlloVir,Biotechnology,1.22B
ALX,Alexander's,"Equity Real Estate 
Investment Trusts...",1.38B
ALXO,ALX Oncology Holdings,Biotechnology,1.46B
ALYA,Alithya Group,IT Services,213.93M
ALZN,Alzamend Neuro,Biotechnology,188.55M
AM,Antero Midstream,"Oil, Gas & Consumable Fuels",4.93B
AMAL,Amalgamated Financial,Banks,562.84M
AMAM,Ambrx Biopharma,Biotechnology,396.74M
AMAO,American Acquisition Opportunity,Blank Check / SPAC,134.54M
AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,133.36B
AMBA,Ambarella,Semiconductors & Semiconductor Equipment,6.46B
AMBC,Ambac Financial Group,Insurance,759.39M
AMBO,Ambow Education Holding,Diversified Consumer Services,27.33M
AMBP,Ardagh Metal Packaging,Packaging & Containers,6.13B
AMC,AMC Entertainment,Entertainment,20.50B
AMCI,AMCI Acquisition II,Blank Check / SPAC,187.14M
AMCR,Amcor,Containers & Packaging,18.09B
AMCX,AMC Networks,Media,1.81B
